po,resultado,carrier,fecha_control,bl_number,sellado,ok_count,revisar_count,motivo_revision
4010736311,REVISAR,LOG-IN,2026-07-21,285N901414319,si,22,2,"BOOKING NO."
4010728969,REVISAR,LOG-IN,2026-07-20,285N902814269,si,22,1,"BOOKING NO."
4010726934,REVISAR,LOG-IN,2026-07-20,285N902814296,si,22,1,"BOOKING NO."
4010713079,REVISAR,LOG-IN,2026-07-20,285N902814297,si,22,1,"BOOKING NO."
4010708618,REVISAR,LOG-IN,2026-07-20,285N902814298,si,22,1,"BOOKING NO."
4010692245,REVISAR,LOG-IN,2026-07-20,285N902814305,si,22,1,"BOOKING NO."
4010713073,REVISAR,LOG-IN,2026-07-20,285N902814306,si,22,1,"BOOKING NO."
4010708623,REVISAR,LOG-IN,2026-07-20,285N902814307,si,22,1,"BOOKING NO."
4010708621,REVISAR,LOG-IN,2026-07-20,285N902814308,si,22,1,"BOOKING NO."
4010708587,REVISAR,LOG-IN,2026-07-20,285N902814267,si,22,1,"BOOKING NO."
4010708571,REVISAR,LOG-IN,2026-07-20,285N902814266,si,22,1,"BOOKING NO."
4010708570,REVISAR,LOG-IN,2026-07-20,285N902814239,si,22,1,"BOOKING NO."
4010666900,REVISAR,LOG-IN,2026-07-20,285N902814236,si,21,1,"BOOKING NO."
118984866,REVISAR,LOG-IN,2026-07-20,285N904414295,si,24,1,"NOTIFY PARTY"
118984809,REVISAR,LOG-IN,2026-07-20,285N900114301,si,23,1,"BOOKING NO."
4010736181,REVISAR,LOG-IN,2026-07-20,285N901414225,si,23,1,"BOOKING NO."
118984810,REVISAR,LOG-IN,2026-07-20,285N900114300,si,23,1,"BOOKING NO."
118984867,REVISAR,LOG-IN,2026-07-20,285N904414243,si,24,1,"NOTIFY PARTY"
118984872,REVISAR,LOG-IN,2026-07-20,285N904414237,si,24,1,"NOTIFY PARTY"
118975878,REVISAR,LOG-IN,2026-07-20,285N904414235,si,24,1,"NOTIFY PARTY"
4010736309,REVISAR,LOG-IN,2026-07-20,285N901414248,si,23,1,"BOOKING NO."
4010735888,REVISAR,LOG-IN,2026-07-18,285N902814268,si,24,1,"BOOKING NO."
4010735883,REVISAR,LOG-IN,2026-07-18,285N902814304,si,24,1,"BOOKING NO."
118762005,REVISAR,LOG-IN,2026-07-18,357N904414107,si,23,3,"NOTIFY PARTY"
4010746682,REVISAR,LOG-IN,2026-07-17,285N901414233,si,23,5,""
4010734550,REVISAR,LOG-IN,2026-07-17,285N902814293,si,22,1,"BOOKING NO."
118979709,REVISAR,MAERSK,2026-07-17,272617646,no,22,1,"Destino (Pais) · Incoterm"
118984860,REVISAR,MAERSK,2026-07-16,272686903,no,21,3,"ORIGINALS TO BE RELEASED AT"
4010675569,REVISAR,MAERSK,2026-07-15,272007716,no,22,1,"Flete total (USD)"
118979844,REVISAR,MAERSK,2026-07-15,272563178,no,22,1,"Destino (Pais) · Incoterm"
118984859,REVISAR,MAERSK,2026-07-15,272683805,no,22,1,"ORIGINALS TO BE RELEASED AT"
118762034,REVISAR,LOG-IN,2026-07-14,357N904414120,si,24,1,"NOTIFY PARTY"
118762011,REVISAR,LOG-IN,2026-07-14,357N904414124,si,24,1,"NOTIFY PARTY"
118762024,REVISAR,LOG-IN,2026-07-14,357N904414121,si,24,1,"NOTIFY PARTY"
4010708565,REVISAR,LOG-IN,2026-07-14,357N902814192,si,22,1,""
118762029,REVISAR,LOG-IN,2026-07-13,357N904414106,si,24,1,"NOTIFY PARTY"
118762010,REVISAR,LOG-IN,2026-07-13,357N904414122,si,23,2,"NOTIFY PARTY · Seguro (USD)"
118762016,REVISAR,LOG-IN,2026-07-13,357N904414125,si,24,1,"NOTIFY PARTY"
118762008,REVISAR,LOG-IN,2026-07-13,357N904414123,si,24,1,"NOTIFY PARTY"
118958525,REVISAR,MAERSK,2026-07-13,272188617,no,22,1,"ORIGINALS TO BE RELEASED AT"
118814495,REVISAR,MAERSK,2026-07-13,267322917,no,22,1,""
118952772,REVISAR,MAERSK,2026-07-13,272004657,no,21,2,"ORIGINALS TO BE RELEASED AT"
118952777,REVISAR,MAERSK,2026-07-13,272004689,no,21,2,"ORIGINALS TO BE RELEASED AT"
118958515,REVISAR,MAERSK,2026-07-08,272188584,no,22,1,"ORIGINALS TO BE RELEASED AT"
118959513,REVISAR,MAERSK,2026-07-06,272050392,no,22,1,"Destino (Pais) · Incoterm"
118828682,REVISAR,MAERSK,2026-07-06,272310389,no,22,1,"ORIGINALS TO BE RELEASED AT"
118828680,REVISAR,MAERSK,2026-07-06,272310374,no,21,2,"ORIGINALS TO BE RELEASED AT"
118835832,REVISAR,MAERSK,2026-07-06,272188335,no,22,1,"ORIGINALS TO BE RELEASED AT"
118833310,REVISAR,MAERSK,2026-07-06,272188313,si,22,1,"ORIGINALS TO BE RELEASED AT"
118959520,REVISAR,MAERSK,2026-07-05,272246551,no,22,1,"Destino (Pais) · Incoterm"
118963137,OK,LOG-IN,2026-07-21,357N902814200,si,24,0,""
4010746690,OK,LOG-IN,2026-07-21,285N901414292,si,24,0,""
4010734570,OK,LOG-IN,2026-07-20,285N902814251,no,23,0,""
4010734525,OK,LOG-IN,2026-07-20,285N902814247,no,23,0,""
4010736317,OK,LOG-IN,2026-07-20,285N901414264,no,24,0,""
118975433,OK,LOG-IN,2026-07-20,285N902814317,no,24,0,""
4010736313,OK,LOG-IN,2026-07-20,285N901414265,no,24,0,""
4010729150,OK,LOG-IN,2026-07-20,285N902814261,no,23,0,""
4010729159,OK,LOG-IN,2026-07-20,285N902814260,no,23,0,""
4010729167,OK,LOG-IN,2026-07-20,285N902814259,no,23,0,""
4010736703,OK,LOG-IN,2026-07-20,285N902814240,no,23,0,""
4010736701,OK,LOG-IN,2026-07-20,285N902814238,no,23,0,""
118744972,OK,LOG-IN,2026-07-20,285N902814294,no,24,0,""
118962917,OK,LOG-IN,2026-07-20,285N900114227,no,25,0,""
118984812,OK,LOG-IN,2026-07-20,285N900114299,no,24,0,""
118984857,OK,LOG-IN,2026-07-20,285N900114318,no,24,0,""
118962905,OK,LOG-IN,2026-07-20,285N900114229,no,25,0,""
118962834,OK,LOG-IN,2026-07-20,285N900114228,no,25,0,""
119008830,OK,LOG-IN,2026-07-20,285N900114250,no,25,0,""
119008841,OK,LOG-IN,2026-07-20,285N900114249,no,25,0,""
119008878,OK,LOG-IN,2026-07-20,285N900114314,no,25,0,""
118999308,OK,LOG-IN,2026-07-20,285N901414256,no,24,0,""
4010729112,OK,LOG-IN,2026-07-20,285N902814241,no,23,0,""
4010734656,OK,LOG-IN,2026-07-20,285N902814244,no,25,0,""
4010734635,OK,LOG-IN,2026-07-20,285N902814245,no,25,0,""
4010734610,OK,LOG-IN,2026-07-20,285N902814246,no,25,0,""
118828656,OK,LOG-IN,2026-07-18,357N902814128,no,24,0,""
4010726911,OK,LOG-IN,2026-07-18,357N902814142,no,23,0,""
4010735880,OK,LOG-IN,2026-07-18,357N902814180,si,25,0,""
4010735878,OK,LOG-IN,2026-07-18,357N902814165,no,25,0,""
4010708684,OK,LOG-IN,2026-07-18,357N902814126,no,25,0,""
